,Show_Type_ID,Types
0,ST1,International TV Shows
1,ST1,TV Dramas
2,ST1,TV Sci-Fi & Fantasy
3,ST2,Dramas
4,ST2,International Movies
5,ST3,Horror Movies
6,ST3,International Movies
7,ST4,Action & Adventure
8,ST4,Independent Movies
9,ST4,Sci-Fi & Fantasy
10,ST5,Dramas
11,ST6,International TV Shows
12,ST6,TV Dramas
13,ST6,TV Mysteries
14,ST7,Horror Movies
15,ST7,International Movies
16,ST8,Dramas
17,ST9,Horror Movies
18,ST9,International Movies
19,ST10,Horror Movies
20,ST10,International Movies
21,ST10,Thrillers
22,ST11,Dramas
23,ST11,Thrillers
24,ST12,Crime TV Shows
25,ST12,International TV Shows
26,ST12,TV Dramas
27,ST13,Crime TV Shows
28,ST13,Docuseries
29,ST13,International TV Shows
30,ST14,Documentaries
31,ST14,International Movies
32,ST14,Sports Movies
33,ST15,Independent Movies
34,ST15,Sci-Fi & Fantasy
35,ST15,Thrillers
36,ST16,Dramas
37,ST16,International Movies
38,ST16,Thrillers
39,ST17,International TV Shows
40,ST17,TV Dramas
41,ST18,Dramas
42,ST18,Thrillers
43,ST19,Comedies
44,ST19,Dramas
45,ST19,Independent Movies
46,ST20,Sports Movies
47,ST21,Dramas
48,ST21,Independent Movies
49,ST21,International Movies
50,ST22,Action & Adventure
51,ST22,Dramas
52,ST22,International Movies
53,ST23,Dramas
54,ST23,International Movies
55,ST24,Dramas
56,ST24,International Movies
57,ST25,Anime Series
58,ST25,International TV Shows
59,ST26,Documentaries
60,ST27,Reality TV
61,ST28,Horror Movies
62,ST28,International Movies
63,ST28,Thrillers
64,ST29,Documentaries
65,ST29,International Movies
66,ST30,TV Comedies
67,ST31,Documentaries
68,ST31,International Movies
69,ST32,Dramas
70,ST32,International Movies
71,ST32,Romantic Movies
72,ST33,Dramas
73,ST33,International Movies
74,ST33,Romantic Movies
75,ST34,Comedies
76,ST35,Comedies
77,ST35,Romantic Movies
78,ST36,Documentaries
79,ST36,Sports Movies
80,ST37,Comedies
81,ST37,Dramas
82,ST37,International Movies
83,ST38,Comedies
84,ST38,Dramas
85,ST38,International Movies
86,ST39,International TV Shows
87,ST39,Romantic TV Shows
88,ST39,TV Comedies
89,ST40,Comedies
90,ST40,International Movies
91,ST41,Comedies
92,ST41,International Movies
93,ST42,Horror Movies
94,ST42,International Movies
95,ST43,Comedies
96,ST43,International Movies
97,ST44,Dramas
98,ST44,International Movies
99,ST45,Action & Adventure
100,ST45,Sci-Fi & Fantasy
101,ST46,Crime TV Shows
102,ST46,International TV Shows
103,ST46,TV Dramas
104,ST47,Dramas
105,ST47,Romantic Movies
106,ST48,Dramas
107,ST48,Romantic Movies
108,ST48,Sports Movies
109,ST49,Comedies
110,ST49,International Movies
111,ST49,Romantic Movies
112,ST50,Comedies
113,ST50,Dramas
114,ST50,International Movies
115,ST51,Action & Adventure
116,ST52,International TV Shows
117,ST52,Romantic TV Shows
118,ST52,TV Dramas
119,ST53,Documentaries
120,ST53,International Movies
121,ST54,Docuseries
122,ST54,Science & Nature TV
123,ST55,Dramas
124,ST55,International Movies
125,ST55,Sports Movies
126,ST56,Movies
127,ST57,Documentaries
128,ST58,Dramas
129,ST58,International Movies
130,ST59,British TV Shows
131,ST59,International TV Shows
132,ST59,Reality TV
133,ST60,Dramas
134,ST60,International Movies
135,ST61,Dramas
136,ST61,Independent Movies
137,ST61,Sports Movies
138,ST62,International TV Shows
139,ST62,Korean TV Shows
140,ST62,Romantic TV Shows
141,ST63,Horror Movies
142,ST63,Independent Movies
143,ST63,Thrillers
144,ST64,Crime TV Shows
145,ST64,TV Dramas
146,ST64,TV Mysteries
147,ST65,Crime TV Shows
148,ST65,Docuseries
149,ST66,Horror Movies
150,ST66,Thrillers
151,ST67,Documentaries
152,ST68,Movies
153,ST69,Action & Adventure
154,ST69,International Movies
155,ST70,Horror Movies
156,ST70,Thrillers
157,ST71,Documentaries
158,ST72,Action & Adventure
159,ST73,Comedies
160,ST74,Dramas
161,ST74,Independent Movies
162,ST74,International Movies
163,ST75,Dramas
164,ST75,International Movies
165,ST76,Horror Movies
166,ST76,Independent Movies
167,ST76,Thrillers
168,ST77,Horror Movies
169,ST77,Independent Movies
170,ST78,Comedies
171,ST78,International Movies
172,ST79,Comedies
173,ST79,Dramas
174,ST79,International Movies
175,ST80,Documentaries
176,ST80,Music & Musicals
177,ST81,Crime TV Shows
178,ST81,International TV Shows
179,ST81,TV Dramas
180,ST82,International Movies
181,ST82,Music & Musicals
182,ST83,Sci-Fi & Fantasy
183,ST84,Dramas
184,ST84,Independent Movies
185,ST85,Comedies
186,ST86,British TV Shows
187,ST86,Reality TV
188,ST87,International TV Shows
189,ST87,TV Dramas
190,ST88,Crime TV Shows
191,ST88,International TV Shows
192,ST88,TV Dramas
193,ST89,Action & Adventure
194,ST89,Independent Movies
195,ST89,Sci-Fi & Fantasy
196,ST90,Action & Adventure
197,ST91,Action & Adventure
198,ST91,Dramas
199,ST91,International Movies
200,ST92,Dramas
201,ST92,International Movies
202,ST92,Thrillers
203,ST93,Action & Adventure
204,ST93,Comedies
205,ST93,International Movies
206,ST94,Documentaries
207,ST95,Comedies
208,ST95,Dramas
209,ST96,International TV Shows
210,ST96,Korean TV Shows
211,ST96,Romantic TV Shows
212,ST97,Action & Adventure
213,ST98,Dramas
214,ST98,International Movies
215,ST98,Thrillers
216,ST99,Dramas
217,ST99,LGBTQ Movies
218,ST100,Dramas
219,ST100,International Movies
220,ST100,Sports Movies
221,ST101,Comedies
222,ST101,Dramas
223,ST101,International Movies
224,ST102,Documentaries
225,ST102,Faith & Spirituality
226,ST103,Comedies
227,ST103,International Movies
228,ST104,Comedies
229,ST104,International Movies
230,ST105,Action & Adventure
231,ST105,Comedies
232,ST106,Dramas
233,ST106,International Movies
234,ST107,Dramas
235,ST107,International Movies
236,ST107,Romantic Movies
237,ST108,Dramas
238,ST108,International Movies
239,ST109,Kids' TV
240,ST109,TV Action & Adventure
241,ST109,TV Sci-Fi & Fantasy
242,ST110,International Movies
243,ST110,Thrillers
244,ST111,Documentaries
245,ST112,Kids' TV
246,ST113,International TV Shows
247,ST113,Romantic TV Shows
248,ST113,Spanish-Language TV Shows
249,ST114,Children & Family Movies
250,ST114,Comedies
251,ST115,Comedies
252,ST115,Dramas
253,ST115,Independent Movies
254,ST116,Comedies
255,ST116,LGBTQ Movies
256,ST117,Dramas
257,ST117,International Movies
258,ST117,Thrillers
259,ST118,Action & Adventure
260,ST118,Comedies
261,ST118,International Movies
262,ST119,Comedies
263,ST119,Dramas
264,ST119,Independent Movies
265,ST120,Comedies
266,ST120,International Movies
267,ST121,Comedies
268,ST121,Dramas
269,ST121,Romantic Movies
270,ST122,Comedies
271,ST122,Romantic Movies
272,ST123,Comedies
273,ST123,Dramas
274,ST123,Independent Movies
275,ST124,Dramas
276,ST124,International Movies
277,ST125,Comedies
278,ST125,International Movies
279,ST126,Dramas
280,ST126,Independent Movies
281,ST127,Action & Adventure
282,ST127,Dramas
283,ST127,International Movies
284,ST128,Action & Adventure
285,ST128,Dramas
286,ST129,Dramas
287,ST129,Independent Movies
288,ST129,Romantic Movies
289,ST130,Horror Movies
290,ST130,International Movies
291,ST130,Thrillers
292,ST131,Reality TV
293,ST132,Comedies
294,ST132,Independent Movies
295,ST132,Thrillers
296,ST133,TV Shows
297,ST134,Dramas
298,ST134,International Movies
299,ST135,Docuseries
300,ST136,Comedies
301,ST136,International Movies
302,ST136,Music & Musicals
303,ST137,Dramas
304,ST137,International Movies
305,ST137,Thrillers
306,ST138,Docuseries
307,ST138,International TV Shows
308,ST138,Science & Nature TV
309,ST139,Docuseries
310,ST139,International TV Shows
311,ST139,Science & Nature TV
312,ST140,Docuseries
313,ST140,International TV Shows
314,ST140,Science & Nature TV
315,ST141,Docuseries
316,ST141,International TV Shows
317,ST141,Science & Nature TV
318,ST142,Anime Series
319,ST142,International TV Shows
320,ST143,British TV Shows
321,ST143,Docuseries
322,ST143,Science & Nature TV
323,ST144,Comedies
324,ST144,International Movies
325,ST144,Music & Musicals
326,ST145,Dramas
327,ST145,International Movies
328,ST145,Thrillers
329,ST146,Children & Family Movies
330,ST146,Dramas
331,ST146,Sports Movies
332,ST147,Documentaries
333,ST147,International Movies
334,ST148,Children & Family Movies
335,ST149,Comedies
336,ST150,Dramas
337,ST150,International Movies
338,ST150,Romantic Movies
339,ST151,Dramas
340,ST151,Independent Movies
341,ST151,International Movies
342,ST152,Dramas
343,ST152,Sci-Fi & Fantasy
344,ST153,International TV Shows
345,ST153,TV Comedies
346,ST153,TV Dramas
347,ST154,Action & Adventure
348,ST154,Classic Movies
349,ST154,Dramas
350,ST155,Comedies
351,ST155,Romantic Movies
352,ST156,Children & Family Movies
353,ST156,Dramas
354,ST157,Comedies
355,ST157,International Movies
356,ST157,Romantic Movies
357,ST158,Action & Adventure
358,ST158,International Movies
359,ST158,Romantic Movies
360,ST159,Dramas
361,ST159,Romantic Movies
362,ST160,Children & Family Movies
