,product_name,price_RM,discount_percent,quantity_sold,original_price_RM
0,DOSEN S50 Driving Recorder Front interior Rear Three lens onboard Dashcam car front and rear 360 HD 1080P Rear camera night vision dual view DVR Driving video Recorder 行车记录器,135.8,50,228,271.6
1,DOSNE A1 Driving Recorder Front interior Rear Wifi 3 lenses Dashcam car front and rear 360 4.0 inch large screen HD 1080P Rear camera night vision dual view DVR Driving video Recorder 行车记录器,79.8,43,323,140.0
2,DOSNE Wifi 行车记录仪 24 Hours Record 1080P FHD wifi 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器,79.8,43,341,140.0
3,DOSEN A1 wireless Driving Recorder Front interior Rear Three lens onboard Dashcam car front and rear 360 4.0 inch large screen HD 1080P Rear camera night vision dual view DVR Driving video Recorder Wifi 行车记录器,78.49,61,31000,201.26
4,70mai Dashcam A200 Dual Channel 1080P Full HD+ HDR | 24H Parking Surveillance,249.0,19,16000,307.41
5,TYZONG 24H Record FHD 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder,71.82,57,21000,167.02
6,DDPAI N1 Dual Dashcam DUAL-CHANNEL Smart Monitor Assistant NightVIS 1296P,179.0,40,323,298.33
7,"2024 10.26"" Dash Cam 4K 2160P Rearview Camera Carplay & Android Auto GPS Navigation with Voice Control Car DVR BT FM Monitor",75.2,52,15,156.67
8,"SAFECAM A38 Three-Channel Dashcam Triple Lens 1080P Full HD, Front + Inner + Rear Dashcam 3 Inch Screen 24-H Time Lapse",119.0,19,7,146.91
9,70mai Dashcam A200 Dual Channel 1080P Full HD Resolution + HDR |  APPs Control | 24H Parking Surveillance,259.0,42,32000,446.55
10,DDPAI N5 Dual 4K 1080P Dual-Channel Dashcam Al Base Radar Motion Detection,382.73,50,33,765.46
11,Car Camera Recorder HD Car Dash Camera USB Front DVR Camera Dash Cam Car Recorder,31.84,10,47,35.38
12,[WIFI VERSION] ROADCAM WIFI X3 Budget Dash Cam Dual Channel Recording 1080P Full HD,99.0,38,188,159.68
13,Hd Tachograph Is Suitable for Automatic Cycle Recording of Vehicle DVR of Various Models,35.14,55,313,78.09
14,70mai A500s 2K Car Dashcam Pro Plus+,349.0,43,205000,612.28
15,SHIP IN 24 Hours!!! 4 inch Car Recorder Dash Cam 1440P Dual lens HD Driving Recorder/HD Night Vision/DVR Parking Monitor,99.0,13,147000,113.79
16,[Ready-Stock] DVR Car Camera Recorder Dashcam Car Dash Cam Front And Rear 1080P Driving Recorder Wifi Car View Cam 行车记录仪,62.9,17,48,75.78
17,Car Rear Camera Waterproof 720P Car Mirror Dash Cam DVR 5Pin Reverse Camera Parking Backup 170° Rear View Camera,33.03,22,38,42.35
18,[OFFICIAL] 70mai A500S Dashcam PRO PLUS+ Car Recorder 1944P Rear Cam GPS App Control Night Vision Dual Vision A500,389.0,50,174000,778.0
19,Dashcam Car Camera 4.0 Inch (Front/Inside/Rear) DVR Dash Cam Car Camera Video Recorder Night Vision Camcorder,50.0,22,121,64.1
20,"ROADCAM R3 Budget Basic Dash Cam Front and Rear Dual Channel Recording Full HD 1080P (4"" Screen) with 6 Meter Rear Cam",77.0,42,323,132.76
21,SAFECAM V40 PRO 2K Dual-Channel Dashcam 1440P Front + FHD 1080P Rear Dashcam WIFI App Control 24-H Parking Time Lapse,179.0,67,13,542.42
22,[English] 70mai A400 Car Recorder Dash Cam QHD 1440P Front Cam Night Vision 145 FOV WDR App Control Smart,266.1,54,17000,578.48
23,CLEARANCE ADAS HD Dash Cam USB Car DVR Starlight Night Vision Driving Recorder GPS Player Compatible With Android 4.0 And Above,32.0,19,60,39.51
24,FHD Wifi GPS Dash Cam 24h Parking Monitor Night Vision Front Rear Camera Car Dashcam Video Recorder,85.0,48,38000,163.46
25,Aitemay Car DVR Camera G30 Full HD 1080P 120 Degree Dashcam Video Recorder Night Vision G-Sensor Motion Detection Dash Camera,24.25,53,243,51.6
26,[New Launch] 70mai A510 Dash Cam Dual Vision Car Recorder with GPS ADAS [Add-on 4G Hardwire Kit],429.0,66,10000,1261.76
27,"HD013 2K HD WIFI dashcam for car 4"" inch 2 Lens front and rear dash cam Car camera Recorder night vision App Control DVR行车记录器",69.9,50,22,139.8
28,HOMEKING | FREE 64GB Memory Card 3 in 1 Dash Cam Car Camera DVR HD 1080P 170 Wide Angle Cycle Recorder G-Sensor 3 IN 1 Dashcam,75.36,51,207,153.8
29,SouthOcean 24H Record 1080P GPS Dashcam for Car Dash Cam Dual Camera Front & Back With Night Vision WDR APP DVR Mini Car Camera Recorder,89.0,70,22000,296.67
30,【18 Months Warranty】FELEMENT dashcam LF9 Pro dashcam for car Front Dash Cam 24H Record FHD 2K UHD Night Vision 170° FOV WDR App Control Smart Enhanced Wifi Loop Recording G-Sensor Auto Voice Prompt,130.05,57,19,302.44
31,EKLEVA 1080P Android ADAS Dash Cam Car DVR Dash Camera USB DVR Loop Recording Car DashCam Night Version Video Recorder,62.08,53,151,132.09
32,"(Local Stock)Q&J Car Camera Dash Cam Backup Camear,1440P Full HD Smart Rearview Mirror for Cars & Trucks, 1080P Front and Rear View Dual Cameras, Night Vision, Parking Assistance, Free 32GB Card  行车记录仪",30.0,77,14000,130.43
33,[FREE INSTALLATION] TRAPO i-SIGHT T350 2K Dashcam,219.0,22,135,280.77
34,AZDOME M17PRO 1296P Full HD Dual Channel Front & Rear DashCam Night Vision ADAS App Control Car Camera Driving Recorder,151.0,8,655,164.13
35,"【Malaysia Spot Sale】Dash Cam Car HD 1296P/1080P 4"" Touch Screen Dual Lens Front And Rear Night Vision 170° Wide Loop Recording",92.0,88,19,766.67
36,*PARKING MODE* 24 Hours Recording Car Recorder Dashcam CCTV KERETA,25.55,58,280,60.83
37,【8.8 Mesti Beli】 BuzzTech 10 Inch Touch Screen Dash Cam Car DVR Mirror Video Recorder Car Dual Lens Recorder Dash Camera 行车记录仪,138.8,40,33000,231.33
38,[Best Selling] 70mai A500S Dashcam Car Recorder 1944P Car Camera Rear Cam WiFi App Control GPS ADAS,342.1,48,479,657.88
39,70mai Dash Cam A200 Dual-channel Record 1080P HDR 2'' IPS Screen 24H Parking Monitor Car DVR A200 WIFI APP 130° FOV,229.0,5,46000,241.05
