,product_name,price_RM,discount_percent,quantity_sold,original_price_RM,brand
0,DOSEN S50 Driving Recorder Front interior Rear Three lens onboard Dashcam car front and rear 360 HD 1080P Rear camera night vision dual view DVR Driving video Recorder 行车记录器,135.8,50,228,271.6,dosen
1,DOSNE A1 Driving Recorder Front interior Rear Wifi 3 lenses Dashcam car front and rear 360 4.0 inch large screen HD 1080P Rear camera night vision dual view DVR Driving video Recorder 行车记录器,79.8,43,323,140.0,dosen
2,DOSNE Wifi 行车记录仪 24 Hours Record 1080P FHD wifi 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器,79.8,43,341,140.0,dosen
3,DOSEN A1 wireless Driving Recorder Front interior Rear Three lens onboard Dashcam car front and rear 360 4.0 inch large screen HD 1080P Rear camera night vision dual view DVR Driving video Recorder Wifi 行车记录器,79.66,60,31000,199.15,dosen
4,DOSEN 24 Hours Record 1080P FHD Wifi 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder 行车记录器 行车记录仪,79.66,58,60000,189.67,dosen
5,TYZONG 24H Record FHD 3 Camera Dashcam for Car Front + Interior + Back / Rear Dash Cam Night Vision Parking Mode Car DVR Driving video Recorder,71.82,57,21000,167.02,other/unstated
6,70mai Dashcam A200 Dual Channel 1080P Full HD+ HDR | 24H Parking Surveillance,249.0,19,16000,307.41,70mai
7,V380 FOVV S50 Driving Recorder Front interior Rear Three lens onboard Dashcam car front and rear 360 4.0 inch large screen HD 1080P Rear camera night vision dual view DVR Driving video Recorder 行车记录器,126.3,53,647,268.72,other/unstated
8,DDPAI N1 Dual Dashcam DUAL-CHANNEL Smart Monitor Assistant NightVIS 1296P,179.0,40,323,298.33,ddpai
9,"2024 10.26"" Dash Cam 4K 2160P Rearview Camera Carplay & Android Auto GPS Navigation with Voice Control Car DVR BT FM Monitor",75.2,76,15,313.33,other/unstated
10,DDPAI N5 Dual 4K 1080P Dual-Channel Dashcam Al Base Radar Motion Detection,382.73,10,33,425.26,ddpai
11,ETTRO M2 Car Recorder Dash Cam 1440P Dual lens Touch Screen Recorder/HD Night/DVR Parking Monito,75.0,52,164000,156.25,ettro
12,70mai A500s 2K Car Dashcam Pro Plus+,349.0,43,205000,612.28,70mai
13,"【Shipping From Malaysia】4"" Screen 1080P Dash Cam Front+Interior+Rear Car Driving Recorder Suction Cup Mount",59.0,52,14,122.92,other/unstated
14,Car Rear Camera Waterproof 720P Car Mirror Dash Cam DVR 5Pin Reverse Camera Parking Backup 170° Rear View Camera,33.03,13,38,37.97,other/unstated
15,1080P Car Dash Camera 120 Degree Full HD Wide Angle Car Dashcam Video Recorder with LCD Screen Night Vision G-Sensor Motion Detection,23.75,27,817,32.53,other/unstated
16,[OFFICIAL] 70mai A500S Dashcam PRO PLUS+ Car Recorder 1944P Rear Cam GPS App Control Night Vision Dual Vision A500,389.0,55,174000,864.44,70mai
17,"SAFECAM A33 Triple Lens 3 Camera 1080P Dashcam Front Cam + Inner Cam + Rear Cam (4"")",109.0,60,339,272.5,safecam
18,64GB 3 in 1 Dash Cam Car Camera DVR HD 1440P 170 Wide Angle Cycle Recorder G-Sensor 3 IN 1 Dashcam,89.1,50,156000,178.2,other/unstated
19,BuzzTech 1080P Full HD X2 Smart WiFi Dash Cam Hidden DVR Camera Car Camera Recorder Phone App View Kamera Kereta 智能行车记录仪,79.9,42,78,137.76,buzztech
20,SAFECAM V40 PRO 2K Dual-Channel Dashcam 1440P Front + FHD 1080P Rear Dashcam WIFI App Control 24-H Parking Time Lapse,179.0,8,13,194.57,safecam
21,CLEARANCE ADAS HD Dash Cam USB Car DVR Starlight Night Vision Driving Recorder GPS Player Compatible With Android 4.0 And Above,32.0,73,60,118.52,other/unstated
22,70mai A810 4K Dash Cam Dual Vision Car Recorder with GPS ADAS [Pre-Order 14 Days],649.0,67,14000,1966.67,70mai
23,3 Camera Lens Car HD 1080P 24h Parking Monitor Video Recorder Dashcam Car DVR Driving Dash Cam Night Vision Parking Mode,59.9,19,125,73.95,other/unstated
24,FHD Wifi GPS Dash Cam 24h Parking Monitor Night Vision Front Rear Camera Car Dashcam Video Recorder,85.0,52,38000,177.08,other/unstated
25,[New Launch] 70mai A510 Dash Cam Dual Vision Car Recorder with GPS ADAS [Add-on 4G Hardwire Kit],429.0,52,10000,893.75,70mai
26,HOMEKING | FREE 64GB Memory Card 3 in 1 Dash Cam Car Camera DVR HD 1080P 170 Wide Angle Cycle Recorder G-Sensor 3 IN 1 Dashcam,76.64,66,207,225.41,other/unstated
27,"SAFECAM A38 Three-Channel Dashcam Triple Lens 1080P Full HD, Front + Inner + Rear Dashcam 3 Inch Screen 24-H Time Lapse",119.0,67,7,360.61,safecam
28,SouthOcean 24H Record 1080P GPS Dashcam for Car Dash Cam Dual Camera Front & Back With Night Vision WDR APP DVR Mini Car Camera Recorder,89.0,19,22000,109.88,southocean
29,4.0In Dash Cam Car DVR 24H HD 1080P Dash Camera Dual Lens Video Recorder 1080P Black Box Cycle Dashcam Mirror Driving Recorder,62.9,57,33,146.28,other/unstated
30,70mai Dashcam A200 Dual Channel 1080P Full HD Resolution + HDR |  APPs Control | 24H Parking Surveillance,259.0,6,32000,275.53,70mai
31,[FREE INSTALLATION] TRAPO i-SIGHT T350 2K Dashcam,219.0,51,135,446.94,other/unstated
32,AZDOME M17PRO 1296P Full HD Dual Channel Front & Rear DashCam Night Vision ADAS App Control Car Camera Driving Recorder,151.0,8,655,164.13,azdome
33,&lt;1080MP&gt; FULL HD Car Camera Full Wide Angle RecordingVideo LIVE,27.55,27,6,37.74,other/unstated
34,*PARKING MODE* 24 Hours Recording Car Recorder Dashcam CCTV KERETA,25.55,38,19,41.21,other/unstated
